Spelling,Zipf,Conc,AOA,SumZipfAOA,gr
olfactory,2.41,2.75,13.46,15.87,3
unsalted,2.6,3.9,7.26,9.86,3
constraint,2.8,2.93,11.05,13.85,3
scarcely,3.19,1.83,10.38,13.57,3
reshape,2.9,2.47,9.22,12.12,3
proverb,2.97,2.26,8.16,11.13,3
midtown,2.21,3.46,9.78,11.99,3
acronym,3.19,2.64,11.56,14.75,3
masquerade,2.52,3.35,11.83,14.35,3
audible,2.73,3.23,11.05,13.78,3
choker,2.47,4.31,11,13.47,3
adobe,2.28,4.19,12.22,14.5,3
utmost,3.37,1.64,10.53,13.9,3
journeyman,2.23,3.85,12.88,15.11,3
linguist,2.5,3.72,13.82,16.32,3
regroup,3.17,2.41,9.63,12.8,3
pretender,2.97,2.48,8.5,11.47,3
parole,3.24,2.66,11.47,14.71,3
islander,2.61,4.19,10.16,12.77,3
chiller,2.76,3.21,9.94,12.7,3
airflow,2.46,3.59,12.42,14.88,3
grudge,3.19,2.14,10.42,13.61,3
earache,2.56,3.56,6.06,8.62,3
scientific,4.29,2.45,8.74,13.03,4
cure,4.14,2.41,9.58,13.72,4
error,4.17,2.68,6.21,10.38,4
monarchy,3.77,2.55,10.44,14.21,4
lively,3.92,2.36,8.6,12.52,4
forgive,4.28,1.92,5.44,9.72,4
epic,4.1,2.19,10.86,14.96,4
stylish,3.97,2.14,8.39,12.36,4
depend,4.05,1.89,8.5,12.55,4
satisfy,3.71,2.04,10,13.71,4
queue,4.08,2.86,12.17,16.25,4
goodness,4.73,1.38,6.05,10.78,5
regular,4.52,2.4,8.56,13.08,5
likely,4.87,1.76,6.33,11.2,5
