Spelling,Zipf,Conc,AOA,SumZipfAOA,rankAll,gr
concept,4.24,1.41,11.44,15.68,0.9452,2
fortunate,4.06,2.04,10.17,14.23,1.3361,2
stylish,3.97,2.14,8.39,12.36,0.9387,2
converse,2.77,2.85,12,14.77,4.04,3
unzip,2.5,3.96,6.06,8.56,3.4598,3
fossilized,1.47,3.79,9.16,10.63,5.3428,3
mentality,3.55,2,10.32,13.87,1.8556,3
scurry,2.64,3.67,9.44,12.08,4.1452,3
brat,3.13,3.62,6.21,9.34,2.5393,3
reiterate,3.01,2.48,12.76,15.77,3.6808,3
homophobic,3.14,2.5,14.7,17.84,4.211,3
regenerate,3.24,2.63,10.44,13.68,2.8352,3
disarm,2.68,3.55,10.11,12.79,4.2063,3
grader,2.17,3.37,7.9,10.07,3.807,3
exorcist,2.78,3.43,12.11,14.89,4.6463,3
sunbather,1.17,4.72,9.05,10.22,6.5365,4
gyro,2,4.46,11.71,13.71,6.3243,4
commissary,1.7,3.58,13.65,15.35,6.3845,4
crosswalk,1.3,4.62,6.61,7.91,5.5013,4
halitosis,2.41,3.61,14.67,17.08,6.0411,4
carpal,2.13,3.33,13.93,16.06,5.7969,4
bondage,2.92,3.65,15.06,17.98,5.6998,4
emcee,1.74,4.46,12.94,14.68,6.9902,4
tailcoat,1.7,4.67,12.33,14.03,7.0389,4
retinal,2,3.29,15.62,17.62,6.4446,4
lyre,2.44,4.23,13.47,15.91,6.2351,4
broiler,1.47,4.83,9.63,11.1,6.5379,4
manicotti,1.17,4.63,14.69,15.86,8.3077,5
glycerin,1.65,4.41,14.26,15.91,7.4658,5
gastritis,1.95,3.32,17.53,19.48,7.1549,5
tachometer,1.47,3.93,14.36,15.83,7.1988,5
micrometer,1.17,4.26,14,15.17,7.71,5
cottonwood,1.6,4.33,14.47,16.07,7.5051,5
zirconium,2,4.27,15.06,17.06,7.2398,5
gyration,1.54,3.56,15.56,17.1,7.1548,5
podiatrist,1.97,4.63,15.5,17.47,7.775,5
virologist,1.3,3.8,16.12,17.42,7.8196,5
alehouse,1.65,4.4,13.76,15.41,7.2908,5
antacid,1.3,4.25,12.89,14.19,7.2037,5
